,date,username,system_id,test_tab_ref,set_power,pos_angle,signal_cat,pw,pri,ampl,rms_error,test_status,remarks
21,2024-03-07 10:21:31.149844,MADHAVI,2.0,wb_freq_acc_test_51,-62.0,63.0,D&S,92.0,856.0,-22.0,42.0,Incomplete,new row added
22,2024-03-07 10:21:32.164755,ADITYA,4.0,wb_freq_acc_test_52,-69.0,335.0,STABLE,601.0,187.0,-27.0,51.0,Completed,new row added
23,2024-03-07 10:21:33.175494,KALYANI,7.0,wb_freq_acc_test_53,-62.0,342.0,STABLE,264.0,538.0,-9.0,68.0,Completed,new row added
24,2024-03-07 10:21:34.188206,MADHAVI,2.0,wb_freq_acc_test_54,-49.0,301.0,STAGGER,220.0,758.0,-5.0,15.0,Completed,new row added
25,2024-03-07 10:21:35.203484,KALYANI,4.0,wb_freq_acc_test_55,-77.0,240.0,JITTER,102.0,592.0,-5.0,98.0,Completed,new row added
26,2024-03-07 10:21:36.214909,MADHAVI,5.0,wb_freq_acc_test_56,-89.0,41.0,CW,998.0,542.0,-8.0,8.0,Incomplete,new row added
27,2024-03-07 10:21:37.231530,SAGAR,4.0,wb_freq_acc_test_57,-75.0,168.0,D&S,150.0,241.0,-13.0,18.0,Incomplete,new row added
28,2024-03-07 10:21:38.246679,SUDHAKAR,7.0,wb_freq_acc_test_58,-26.0,83.0,CW,966.0,44.0,-20.0,66.0,Incomplete,new row added
29,2024-03-07 10:21:39.263529,BHASKAR,4.0,wb_freq_acc_test_59,-5.0,20.0,CW,278.0,777.0,-8.0,21.0,Incomplete,new row added
30,2024-03-07 10:21:40.272842,KALYANI,8.0,wb_freq_acc_test_60,-70.0,126.0,STABLE,831.0,691.0,-13.0,99.0,Incomplete,new row added
31,2024-03-07 10:21:41.276253,KALYANI,9.0,wb_freq_acc_test_61,-52.0,201.0,STAGGER,223.0,819.0,-12.0,10.0,Incomplete,new row added
32,2024-03-07 10:21:42.288800,JASWANTH,5.0,wb_freq_acc_test_62,-51.0,229.0,D&S,359.0,854.0,-28.0,30.0,Incomplete,new row added
33,2024-03-07 10:21:43.314131,JASWANTH,2.0,wb_freq_acc_test_63,-13.0,235.0,JITTER,589.0,519.0,-10.0,21.0,Completed,new row added
34,2024-03-07 10:21:44.328746,AKHIL,2.0,wb_freq_acc_test_64,-30.0,350.0,STABLE,331.0,391.0,-23.0,36.0,Completed,new row added
35,2024-03-07 10:21:45.341739,SAGAR,3.0,wb_freq_acc_test_65,-83.0,57.0,STAGGER,452.0,193.0,-30.0,50.0,Completed,new row added
36,2024-03-07 10:21:46.354506,MADHAVI,7.0,wb_freq_acc_test_66,-52.0,208.0,JITTER,302.0,155.0,-26.0,79.0,Completed,new row added
37,2024-03-07 10:21:47.379867,MADHAVI,6.0,wb_freq_acc_test_67,-25.0,254.0,JITTER,960.0,894.0,-30.0,7.0,Completed,new row added
38,2024-03-07 10:21:48.395554,JASWANTH,7.0,wb_freq_acc_test_68,-41.0,229.0,JITTER,580.0,896.0,-12.0,81.0,Completed,new row added
39,2024-03-07 10:21:49.421522,ADITYA,7.0,wb_freq_acc_test_69,-82.0,178.0,CW,324.0,185.0,-5.0,21.0,Incomplete,new row added
40,2024-03-07 10:21:50.436550,ADITYA,1.0,wb_freq_acc_test_70,-77.0,283.0,STABLE,216.0,50.0,-29.0,54.0,Completed,new row added
41,2024-03-07 10:21:51.453302,KRISHNA,9.0,wb_freq_acc_test_71,-34.0,138.0,D&S,502.0,190.0,-5.0,69.0,Incomplete,new row added
42,2024-03-07 10:21:52.468959,BHASKAR,7.0,wb_freq_acc_test_72,-19.0,230.0,D&S,907.0,284.0,-4.0,80.0,Completed,new row added
43,2024-03-07 10:21:53.485001,SATHISH,5.0,wb_freq_acc_test_73,-67.0,43.0,STABLE,132.0,53.0,-21.0,39.0,Completed,new row added
44,2024-03-07 10:21:54.500465,BHASKAR,2.0,wb_freq_acc_test_74,-16.0,177.0,STABLE,296.0,681.0,-21.0,13.0,Completed,new row added
45,2024-03-07 10:21:55.509922,SUDHAKAR,6.0,wb_freq_acc_test_75,-55.0,136.0,D&S,877.0,23.0,-12.0,26.0,Completed,new row added
46,2024-03-07 10:21:56.522417,SUDHAKAR,5.0,wb_freq_acc_test_76,-73.0,349.0,STAGGER,300.0,376.0,-21.0,89.0,Incomplete,new row added
47,2024-03-07 10:21:57.532241,BHASKAR,3.0,wb_freq_acc_test_77,-82.0,303.0,JITTER,772.0,996.0,-7.0,22.0,Incomplete,new row added
48,2024-03-07 10:21:58.544543,MADHAVI,6.0,wb_freq_acc_test_78,-87.0,117.0,CW,806.0,744.0,-22.0,24.0,Completed,new row added
49,2024-03-07 10:21:59.560273,SATHISH,6.0,wb_freq_acc_test_79,-6.0,129.0,JITTER,266.0,807.0,-27.0,78.0,Incomplete,new row added
50,2024-03-07 10:22:00.569085,RAJU,2.0,wb_freq_acc_test_80,-13.0,111.0,STABLE,77.0,200.0,-13.0,83.0,Completed,new row added
51,2024-03-07 10:22:01.574237,SATHISH,1.0,wb_freq_acc_test_81,-82.0,51.0,STAGGER,562.0,581.0,-25.0,90.0,Incomplete,new row added
52,2024-03-07 10:22:02.588330,BHASKAR,2.0,wb_freq_acc_test_82,-65.0,224.0,STAGGER,788.0,471.0,-7.0,26.0,Completed,new row added
53,2024-03-07 10:22:03.604085,BHASKAR,1.0,wb_freq_acc_test_83,-61.0,159.0,JITTER,171.0,11.0,-20.0,15.0,Incomplete,new row added
54,2024-03-07 10:22:04.618138,KRISHNA,7.0,wb_freq_acc_test_84,-86.0,182.0,CW,275.0,348.0,-25.0,63.0,Completed,new row added
55,2024-03-07 10:22:06.657386,BHASKAR,2.0,wb_freq_acc_test_86,-31.0,172.0,JITTER,605.0,849.0,-5.0,17.0,Completed,new row added
56,2024-03-07 10:22:07.675820,SATHISH,5.0,wb_freq_acc_test_87,-21.0,203.0,D&S,408.0,195.0,-1.0,27.0,Incomplete,new row added
57,2024-03-07 10:22:08.690696,JASWANTH,2.0,wb_freq_acc_test_88,-4.0,28.0,CW,26.0,281.0,-16.0,4.0,Completed,new row added
58,2024-03-07 10:22:09.714736,MADHAVI,4.0,wb_freq_acc_test_89,-41.0,86.0,STAGGER,688.0,461.0,-23.0,15.0,Completed,new row added
59,2024-03-07 10:22:10.721938,MADHAVI,2.0,wb_freq_acc_test_90,-85.0,344.0,D&S,877.0,596.0,-28.0,11.0,Incomplete,new row added
60,2024-03-07 10:22:11.731559,RAJU,6.0,wb_freq_acc_test_91,-35.0,80.0,JITTER,432.0,976.0,-17.0,28.0,Completed,new row added
61,2024-03-07 10:22:12.751149,RAJU,8.0,wb_freq_acc_test_92,-17.0,152.0,D&S,722.0,803.0,-25.0,13.0,Completed,new row added
62,2024-03-07 10:22:13.760049,ADITYA,3.0,wb_freq_acc_test_93,-32.0,240.0,JITTER,206.0,399.0,-28.0,37.0,Incomplete,new row added
63,2024-03-07 10:22:14.785174,SAGAR,3.0,wb_freq_acc_test_94,-71.0,278.0,CW,952.0,385.0,-7.0,79.0,Completed,new row added
64,2024-03-07 10:22:15.799535,SAGAR,8.0,wb_freq_acc_test_95,-79.0,213.0,JITTER,356.0,187.0,-8.0,75.0,Incomplete,new row added
65,2024-03-07 10:22:16.817911,RAJU,8.0,wb_freq_acc_test_96,-58.0,209.0,D&S,89.0,917.0,-3.0,84.0,Incomplete,new row added
66,2024-03-07 10:22:17.833026,JASWANTH,1.0,wb_freq_acc_test_97,-9.0,69.0,STABLE,379.0,639.0,-27.0,13.0,Completed,new row added
67,2024-03-07 10:22:18.846314,ADITYA,6.0,wb_freq_acc_test_98,-18.0,133.0,D&S,319.0,642.0,-16.0,39.0,Incomplete,new row added
68,2024-03-07 10:22:19.862698,JASWANTH,2.0,wb_freq_acc_test_99,-20.0,316.0,D&S,828.0,548.0,-28.0,77.0,Completed,new row added
69,2024-03-07 10:22:20.888178,KRISHNA,7.0,wb_freq_acc_test_100,-62.0,271.0,JITTER,13.0,353.0,-1.0,14.0,Incomplete,new row added
70,2024-03-07 10:22:21.901157,ADITYA,8.0,wb_freq_acc_test_101,-25.0,199.0,CW,568.0,963.0,-14.0,9.0,Completed,new row added
71,2024-03-07 10:22:22.924175,KALYANI,8.0,wb_freq_acc_test_102,-44.0,10.0,CW,30.0,50.0,-26.0,96.0,Completed,new row added
72,2024-03-07 10:22:23.942166,NAVYA,1.0,wb_freq_acc_test_103,-18.0,277.0,CW,250.0,882.0,-28.0,26.0,Incomplete,new row added
73,2024-03-07 10:22:24.962502,KALYANI,9.0,wb_freq_acc_test_104,-7.0,210.0,STAGGER,923.0,110.0,-25.0,80.0,Incomplete,new row added
74,2024-03-07 10:22:25.975498,AKHIL,1.0,wb_freq_acc_test_105,-38.0,288.0,STAGGER,815.0,211.0,-16.0,97.0,Completed,new row added
75,2024-03-07 10:22:26.994257,RAJU,6.0,wb_freq_acc_test_106,-14.0,24.0,CW,585.0,569.0,-18.0,39.0,Completed,new row added
76,2024-03-07 10:22:28.007549,KRISHNA,4.0,wb_freq_acc_test_107,-27.0,95.0,CW,528.0,520.0,-18.0,2.0,Incomplete,new row added
77,2024-03-07 10:22:29.026799,ADITYA,1.0,wb_freq_acc_test_108,-67.0,74.0,STAGGER,620.0,471.0,-8.0,54.0,Incomplete,new row added
78,2024-03-07 10:22:30.044260,KRISHNA,2.0,wb_freq_acc_test_109,-52.0,210.0,STAGGER,638.0,84.0,-5.0,54.0,Completed,new row added
79,2024-03-07 10:22:31.056336,MADHAVI,5.0,wb_freq_acc_test_110,-42.0,136.0,JITTER,350.0,520.0,-5.0,39.0,Incomplete,new row added
80,2024-03-07 10:22:32.074596,SAGAR,6.0,wb_freq_acc_test_111,-28.0,83.0,STABLE,328.0,606.0,-6.0,88.0,Completed,new row added
81,2024-03-07 10:22:33.088273,SATHISH,5.0,wb_freq_acc_test_112,-45.0,6.0,JITTER,605.0,226.0,-22.0,67.0,Completed,new row added
82,2024-03-07 10:22:34.112033,AKHIL,4.0,wb_freq_acc_test_113,-6.0,55.0,STABLE,962.0,786.0,-1.0,76.0,Incomplete,new row added
83,2024-03-07 10:22:35.124658,BHASKAR,9.0,wb_freq_acc_test_114,-87.0,130.0,JITTER,68.0,466.0,-1.0,96.0,Incomplete,new row added
84,2024-03-07 10:22:36.141931,SAGAR,2.0,wb_freq_acc_test_115,-34.0,34.0,STAGGER,752.0,663.0,-19.0,75.0,Completed,new row added
85,2024-03-07 10:22:37.155774,AKHIL,3.0,wb_freq_acc_test_116,-5.0,324.0,CW,637.0,767.0,-9.0,11.0,Incomplete,new row added
86,2024-03-07 10:22:38.166718,NAVYA,3.0,wb_freq_acc_test_117,-28.0,30.0,JITTER,822.0,874.0,-9.0,68.0,Completed,new row added
87,2024-03-07 10:22:39.191529,ADITYA,6.0,wb_freq_acc_test_118,-81.0,88.0,STABLE,474.0,740.0,-3.0,33.0,Completed,new row added
88,2024-03-07 10:22:40.197819,JASWANTH,8.0,wb_freq_acc_test_119,-5.0,75.0,STABLE,983.0,384.0,-21.0,96.0,Incomplete,new row added
89,2024-03-07 10:22:41.210507,SUDHAKAR,3.0,wb_freq_acc_test_120,-52.0,225.0,CW,895.0,860.0,-15.0,63.0,Incomplete,new row added
90,2024-03-07 10:22:42.218751,AKHIL,4.0,wb_freq_acc_test_121,-48.0,307.0,D&S,731.0,146.0,-16.0,8.0,Completed,new row added
91,2024-03-07 10:22:43.242292,KRISHNA,4.0,wb_freq_acc_test_122,-33.0,231.0,STAGGER,441.0,447.0,-10.0,74.0,Incomplete,new row added
92,2024-03-07 10:22:44.268944,SAGAR,4.0,wb_freq_acc_test_123,-11.0,96.0,D&S,289.0,415.0,-24.0,0.0,Completed,new row added
93,2024-03-07 10:22:45.287819,AKHIL,1.0,wb_freq_acc_test_124,-73.0,330.0,JITTER,236.0,668.0,-18.0,90.0,Incomplete,new row added
94,2024-03-07 10:22:46.303599,KALYANI,2.0,wb_freq_acc_test_125,-73.0,357.0,D&S,753.0,561.0,-22.0,29.0,Completed,new row added
95,2024-03-07 10:22:47.318199,AKHIL,1.0,wb_freq_acc_test_126,-67.0,272.0,JITTER,570.0,907.0,-10.0,34.0,Completed,new row added
96,2024-03-07 10:22:48.331253,MADHAVI,4.0,wb_freq_acc_test_127,-14.0,125.0,CW,884.0,225.0,-19.0,76.0,Incomplete,new row added
97,2024-03-07 10:22:49.342764,SAGAR,2.0,wb_freq_acc_test_128,-75.0,148.0,CW,591.0,852.0,-5.0,43.0,Incomplete,new row added
98,2024-03-07 10:22:50.358251,MADHAVI,5.0,wb_freq_acc_test_129,-58.0,103.0,D&S,168.0,127.0,-26.0,92.0,Completed,new row added
99,2024-03-07 10:22:51.371689,RAJU,8.0,wb_freq_acc_test_130,-85.0,175.0,CW,347.0,936.0,-5.0,52.0,Incomplete,new row added
100,2024-03-07 10:22:52.386314,SATHISH,1.0,wb_freq_acc_test_131,-40.0,190.0,STABLE,427.0,791.0,-2.0,0.0,Incomplete,new row added
101,2024-03-07 10:22:53.399517,SAGAR,8.0,wb_freq_acc_test_132,-83.0,350.0,CW,601.0,147.0,-8.0,3.0,Incomplete,new row added
102,2024-03-07 10:22:54.424640,SAGAR,3.0,wb_freq_acc_test_133,-58.0,25.0,D&S,277.0,497.0,-23.0,36.0,Completed,new row added
103,2024-03-07 10:22:55.442227,KALYANI,3.0,wb_freq_acc_test_134,-35.0,156.0,STABLE,822.0,71.0,-16.0,63.0,Completed,new row added
104,2024-03-07 10:22:56.466800,BHASKAR,7.0,wb_freq_acc_test_135,-18.0,314.0,STAGGER,809.0,806.0,-26.0,59.0,Completed,new row added
105,2024-03-07 10:22:57.473313,SUDHAKAR,1.0,wb_freq_acc_test_136,-55.0,302.0,D&S,841.0,743.0,-28.0,2.0,Incomplete,new row added
106,2024-03-07 10:22:58.485581,KALYANI,1.0,wb_freq_acc_test_137,-25.0,184.0,CW,216.0,631.0,-2.0,36.0,Completed,new row added
107,2024-03-07 10:22:59.503737,RAJU,3.0,wb_freq_acc_test_138,-21.0,220.0,STABLE,986.0,364.0,-20.0,95.0,Incomplete,new row added
108,2024-03-07 10:23:00.517176,KRISHNA,9.0,wb_freq_acc_test_139,-21.0,272.0,STABLE,128.0,317.0,-25.0,3.0,Incomplete,new row added
109,2024-03-07 10:23:01.542110,SATHISH,8.0,wb_freq_acc_test_140,-43.0,279.0,CW,71.0,224.0,-30.0,74.0,Incomplete,new row added
110,2024-03-07 10:23:02.554834,SATHISH,6.0,wb_freq_acc_test_141,-48.0,85.0,CW,240.0,667.0,-4.0,36.0,Completed,new row added
111,2024-03-07 10:23:03.573612,BHASKAR,4.0,wb_freq_acc_test_142,-25.0,195.0,D&S,715.0,489.0,-22.0,75.0,Completed,new row added
112,2024-03-07 10:23:04.587276,JASWANTH,4.0,wb_freq_acc_test_143,-88.0,141.0,CW,243.0,961.0,-16.0,77.0,Completed,new row added
113,2024-03-07 10:23:05.605601,NAVYA,3.0,wb_freq_acc_test_144,-51.0,344.0,STAGGER,252.0,179.0,-20.0,84.0,Completed,new row added
114,2024-03-07 10:23:06.617050,AKHIL,5.0,wb_freq_acc_test_145,-81.0,43.0,STABLE,125.0,181.0,-22.0,97.0,Incomplete,new row added
115,2024-03-07 10:23:07.632617,NAVYA,2.0,wb_freq_acc_test_146,-74.0,16.0,D&S,549.0,244.0,-30.0,37.0,Completed,new row added
116,2024-03-07 10:23:08.656786,KRISHNA,3.0,wb_freq_acc_test_147,-59.0,218.0,STABLE,674.0,79.0,-10.0,8.0,Incomplete,new row added
117,2024-03-07 10:23:09.659029,SAGAR,8.0,wb_freq_acc_test_148,-12.0,317.0,STAGGER,473.0,367.0,-17.0,61.0,Completed,new row added
118,2024-03-07 10:23:10.664176,SAGAR,4.0,wb_freq_acc_test_149,-89.0,348.0,JITTER,406.0,709.0,-7.0,59.0,Completed,new row added

